City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kirakira,-10.4544,161.9205,26.08,87,66,3.14,SB,1698760752
1,ust-nera,64.5667,143.2,-17.59,100,100,2.15,RU,1698760752
2,nemuro,43.3236,145.575,11.74,89,43,5.61,JP,1698760752
3,hawaiian paradise park,19.5933,-154.9731,23.35,97,100,2.57,US,1698760752
4,al khawr,25.7667,51.3167,25.94,51,87,2.7,QA,1698760752
5,papatowai,-46.5619,169.4708,10.6,76,94,0.25,NZ,1698760753
6,thompson,55.7435,-97.8558,-8.91,79,75,4.12,CA,1698760485
7,port-aux-francais,-49.35,70.2167,4.27,87,100,16.03,TF,1698760753
8,arquitecto tomas romero pereira,-26.4833,-55.25,23.05,76,100,1.67,PY,1698760753
9,ushuaia,-54.8,-68.3,7.79,58,40,10.8,AR,1698760753
10,ta`u,-14.2336,-169.5144,26.67,72,28,9.84,AS,1698760753
11,edinburgh of the seven seas,-37.0676,-12.3116,14.19,90,16,9.31,SH,1698760753
12,northam,51.0333,-4.2167,15.37,89,100,5.57,GB,1698760754
13,klyuchi,52.2667,79.1667,2.87,95,100,1.59,RU,1698760754
14,susuman,62.7833,148.1667,-17.23,99,100,1.34,RU,1698760754
15,weno,7.4515,151.8468,27.86,79,100,4.33,FM,1698760754
16,dalandzadgad,43.5708,104.425,8.14,50,22,1.87,MN,1698760754
17,dudinka,69.4058,86.1778,-16.32,97,92,0.89,RU,1698760754
18,margaret river,-33.95,115.0667,13.87,85,0,5.64,AU,1698760755
19,invercargill,-46.4,168.35,8.34,97,90,0.89,NZ,1698760755
20,port isabel,26.0734,-97.2086,10.04,69,100,9.77,US,1698760755
21,colonia,50.9333,6.95,16.14,68,75,7.2,DE,1698760755
22,bilibino,68.0546,166.4372,-15.32,86,91,1.8,RU,1698760755
23,adamstown,-25.066,-130.1015,22.48,71,22,4.99,PN,1698760755
24,whitehorse,60.7161,-135.0538,1.43,94,100,1.03,CA,1698760632
25,vila franca do campo,37.7167,-25.4333,19.93,99,60,6.0,PT,1698760756
26,hermanus,-34.4187,19.2345,21.04,55,92,9.73,ZA,1698760756
27,island harbour,50.724,-1.2758,15.52,83,100,1.34,GB,1698760756
28,tiksi,71.6872,128.8694,-18.07,99,100,3.56,RU,1698760756
29,vrontados,38.4089,26.1328,22.15,70,0,2.23,GR,1698760757
30,st. john's,47.5649,-52.7093,2.93,94,100,1.34,CA,1698760757
31,ulety,51.3572,112.4849,-4.93,75,28,1.24,RU,1698760757
32,new norfolk,-42.7826,147.0587,8.84,82,71,1.6,AU,1698760757
33,tosontsengel,48.7567,98.2839,-1.45,86,96,1.47,MN,1698760757
34,waitangi,-43.9535,-176.5597,12.81,95,100,14.41,NZ,1698760758
35,port alfred,-33.5906,26.891,19.54,77,28,4.92,ZA,1698760758
36,hami,42.8,93.45,14.52,39,28,2.06,CN,1698760758
37,olonkinbyen,70.9221,-8.7187,2.33,69,100,5.04,SJ,1698760758
38,kirgiz-miyaki,53.6324,54.7979,5.4,99,100,6.79,RU,1698760758
39,grytviken,-54.2811,-36.5092,2.06,90,62,1.78,GS,1698760759
40,ladario,-19.0047,-57.6017,33.05,58,62,2.06,BR,1698760759
41,badger,64.8,-147.5333,-2.86,95,100,0.0,US,1698760759
42,hithadhoo,-0.6,73.0833,27.44,79,100,4.95,MV,1698760759
43,bethel,41.3712,-73.414,8.08,69,0,4.12,US,1698760759
44,carroll,39.5501,-77.0164,8.25,61,0,2.57,US,1698760759
45,kununurra,-15.7667,128.7333,32.05,46,69,2.18,AU,1698760760
46,brookings,44.3114,-96.7984,-5.46,82,100,6.69,US,1698760577
47,rawai,7.7797,98.3253,30.55,71,100,5.63,TH,1698760760
48,tam ky,15.5667,108.4833,24.61,89,100,2.48,VN,1698760760
49,kodiak,57.79,-152.4072,8.73,81,100,3.09,US,1698760760
50,queenstown,-31.8976,26.8753,18.98,27,1,4.49,ZA,1698760760
51,saldanha,-33.0117,17.9442,29.03,62,86,7.29,ZA,1698760761
52,soio,-6.1349,12.3689,27.7,73,96,1.85,AO,1698760761
53,sisimiut,66.9395,-53.6735,1.12,63,77,5.31,GL,1698760761
54,bredasdorp,-34.5322,20.0403,19.48,56,93,9.33,ZA,1698760761
55,blackmans bay,-43.0167,147.3167,8.18,74,35,2.74,AU,1698760761
56,navarre,30.4016,-86.8636,13.33,74,40,6.69,US,1698760761
57,turi,40.9173,17.0212,24.69,65,40,6.17,IT,1698760762
58,west island,-12.1568,96.8225,26.99,78,75,6.69,CC,1698760762
59,siracusa,37.0881,15.2792,29.77,80,100,2.33,IT,1698760762
60,udachny,66.4167,112.4,-20.85,98,100,2.38,RU,1698760762
61,sharhorod,48.7383,28.085,22.05,40,5,7.37,UA,1698760762
62,brisas de zicatela,15.8369,-97.0419,25.98,69,10,2.13,MX,1698760762
63,mount pearl,47.5166,-52.7813,2.47,94,100,4.12,CA,1698760763
64,iqaluit,63.7506,-68.5145,-9.15,72,100,8.75,CA,1698760763
65,yeppoon,-23.1333,150.7333,20.88,84,31,3.16,AU,1698760763
66,avarua,-21.2078,-159.775,23.03,78,75,4.12,CK,1698760763
67,tromso,69.6496,18.957,0.01,93,75,3.09,NO,1698760763
68,alofi,-19.0595,-169.9187,23.94,78,75,4.63,NU,1698760764
69,isafjordur,66.0755,-23.124,-1.98,80,0,2.06,IS,1698760764
70,jamestown,42.097,-79.2353,3.77,90,100,1.54,US,1698760764
71,puerto natales,-51.7236,-72.4875,6.25,56,20,2.06,CL,1698760764
72,pearsall,28.8922,-99.095,8.84,47,100,4.67,US,1698760764
73,okhotsk,59.3833,143.3,-1.28,91,100,4.49,RU,1698760764
74,port augusta,-32.5,137.7667,12.68,61,0,6.22,AU,1698760765
75,general villegas,-35.0328,-63.0125,15.34,53,100,7.49,AR,1698760765
76,punta arenas,-53.15,-70.9167,7.06,49,75,5.14,CL,1698760765
77,ancud,-41.8697,-73.8203,9.23,64,16,2.5,CL,1698760765
78,sandnessjoen,66.0217,12.6316,0.06,59,20,3.6,NO,1698760765
79,puerto ayora,-0.7393,-90.3518,24.19,92,99,2.24,EC,1698760765
80,morehead city,34.7229,-76.726,16.02,89,100,5.81,US,1698760675
81,enewetak,11.3474,162.3373,29.01,77,92,9.04,MH,1698760766
82,stanley,54.868,-1.6985,7.65,78,75,3.09,GB,1698760691
83,sao vicente,-23.9631,-46.3919,31.1,51,100,2.57,BR,1698760766
84,saipan,15.1355,145.701,27.39,89,75,5.66,MP,1698760766
85,le morne-rouge,14.7667,-61.1333,27.76,73,21,3.86,MQ,1698760766
86,kirundo,-2.5833,30.1667,24.35,63,98,0.62,BI,1698760766
